question,answer
What is AI?,AI stands for Artificial Intelligence.
Define Artificial Intelligence.,Artificial Intelligence is the simulation of human intelligence by machines.
What are the uses of AI?,AI is used in healthcare education robotics self-driving cars and recommendation systems.
Where is AI used?,AI is used in hospitals banking cybersecurity chatbots and automation.
What is Machine Learning?,Machine Learning is a subset of AI that enables systems to learn from data.
What are the applications of Machine Learning?,Machine Learning is used in prediction recommendation fraud detection and image recognition.
Difference between AI and ML?,AI is the broader concept while ML is a subset that learns from data.
What is Python?,Python is a high-level programming language.
Why is Python popular?,Python is popular because it is simple easy to learn and powerful.
What are the uses of Python?,Python is used in web development AI machine learning automation and data science.
Can Python be used for AI?,Yes Python is widely used for Artificial Intelligence and Machine Learning.
What is NLP?,NLP stands for Natural Language Processing.
What are the uses of NLP?,NLP is used in chatbots translators speech recognition and sentiment analysis.
What is Data Science?,Data Science is the field of analyzing data to extract useful insights.
What is Deep Learning?,Deep Learning is a subset of Machine Learning based on neural networks.
What are neural networks?,Neural networks are computing systems inspired by the human brain.
What is Flask?,Flask is a lightweight Python web framework.
What is Django?,Django is a high-level Python web framework for rapid development.
Difference between Flask and Django?,Flask is lightweight while Django is more feature-rich.
What is HTML?,HTML stands for HyperText Markup Language.
What is CSS?,CSS is used for styling web pages.
What is JavaScript?,JavaScript is used to make web pages interactive.
What is frontend development?,Frontend development focuses on designing the user interface of websites.
What is backend development?,Backend development handles server database and application logic.
What is full stack development?,Full stack development includes both frontend and backend development.
What is a database?,A database is used to store and manage data.
What is SQL?,SQL stands for Structured Query Language.
What is cloud computing?,Cloud computing provides computing services over the internet.
What is cybersecurity?,Cybersecurity protects systems networks and data from attacks.
What is an API?,API stands for Application Programming Interface.
What is Git?,Git is a version control system.
What is GitHub?,GitHub is a platform for hosting and sharing code.
What is React?,React is a JavaScript library for building user interfaces.
What is Node.js?,Node.js allows JavaScript to run on the server side.
What is MongoDB?,MongoDB is a NoSQL database.
What is Firebase?,Firebase is a backend platform by Google.
What is web development?,Web development is the process of building websites and web applications.
What is software engineering?,Software engineering is the process of designing and developing software systems.
What are programming languages?,Programming languages are used to communicate instructions to computers.
What is Java?,Java is a popular object-oriented programming language.
What is C programming?,C is a powerful procedural programming language.
What is C++?,C++ is an extension of the C programming language with object-oriented features.
What is JavaScript used for?,JavaScript is used for web interactivity animations and dynamic content.
What is responsive web design?,Responsive web design makes websites work on all devices.
What is UI UX design?,UI UX design focuses on user interface and user experience.
What is a chatbot?,A chatbot is a software application that simulates human conversation.
What is automation?,Automation uses technology to perform tasks automatically.
What is IoT?,IoT stands for Internet of Things.
What is blockchain?,Blockchain is a decentralized digital ledger technology.
What is computer vision?,Computer vision enables machines to understand images and videos.
What is speech recognition?,Speech recognition converts spoken language into text.
